DateTime,First,Second,Close
09/02/2013 08:16:17.698,-1.25,9.5,-1.75
09/03/2013 03:58:16.631,2.25,-6.5,1.25
09/03/2013 08:21:44.449,-1.5,4.75,-1.25
09/03/2013 08:48:44.926,-0.25,4.5,-2.5
09/03/2013 09:16:58.547,-3.25,4.5,-3.0
09/03/2013 10:01:25.251,-2.0,4.0,-2.25
09/03/2013 10:32:21.436,1.25,-9.5,2.0
09/03/2013 11:16:41.690,0.75,-3.75,1.5
09/03/2013 12:11:24.987,0.5,-6.25,2.75
09/03/2013 13:14:32.728,0.75,-4.0,3.25
09/03/2013 14:00:50.819,0.5,-4.5,4.25
09/03/2013 14:45:24.683,-0.75,5.25,-1.0
09/03/2013 21:38:03.470,-3.5,5.0,-1.75
09/04/2013 07:34:41.271,3.75,-6.25,1.0
09/04/2013 08:45:42.308,-2.0,6.25,-0.25
09/04/2013 09:19:13.509,-0.5,6.25,-0.75
09/04/2013 10:10:53.429,-0.5,4.25,-0.25
09/04/2013 11:08:36.999,-1.5,5.5,-0.25
09/04/2013 12:53:24.294,-1.25,2.75,-2.75
09/04/2013 14:24:28.616,-1.25,3.5,-3.25
09/04/2013 14:59:57.963,1.75,-3.25,2.5
09/05/2013 04:49:11.514,4.5,-6.0,1.0
09/05/2013 08:34:49.436,-0.25,4.75,-1.5
09/05/2013 09:07:07.490,-0.5,4.25,-1.75
09/05/2013 09:54:50.993,1.25,-5.0,2.5
09/05/2013 11:02:24.924,-2.75,3.75,-0.75
09/05/2013 13:11:28.349,-2.25,3.0,-1.75
09/05/2013 14:59:59.041,2.25,-4.0,0.25
09/06/2013 05:00:39.930,-4.5,7.25,-3.5
09/06/2013 07:37:20.913,-0.25,11.5,-3.5
09/06/2013 08:36:50.826,2.5,-5.0,2.5
09/06/2013 08:45:49.552,0.0,-13.75,1.25
09/06/2013 08:54:38.182,-5.5,6.0,-1.5
09/06/2013 09:06:08.710,0.5,-8.5,3.0
09/06/2013 09:20:35.690,-0.25,7.25,-1.75
09/06/2013 09:45:00.068,-0.75,7.5,0.0
09/06/2013 10:11:36.066,-0.25,6.75,-2.0
09/06/2013 11:04:52.281,-1.0,3.25,-1.25
09/06/2013 12:44:52.116,-3.25,4.75,-0.75
09/06/2013 13:58:11.824,-0.5,4.5,-3.5
09/06/2013 14:38:15.937,1.0,-6.0,0.75
09/08/2013 19:03:41.003,2.25,-6.5,4.0
09/09/2013 07:54:49.055,-1.5,5.0,-2.25
09/09/2013 08:55:24.894,-0.25,7.0,-0.25
09/09/2013 09:37:19.488,1.25,-5.0,2.0
09/09/2013 10:42:12.634,-1.5,3.5,-0.5
09/09/2013 12:18:51.690,-0.25,3.5,-1.0
09/09/2013 13:37:51.201,-0.75,6.5,-1.5
09/09/2013 14:56:15.928,1.25,-2.75,1.5
09/10/2013 03:01:01.063,-2.0,9.0,-0.75
09/10/2013 08:05:33.018,-0.75,5.5,-1.75
09/10/2013 08:51:35.087,1.25,-4.0,2.25
09/10/2013 09:19:00.276,-0.25,3.25,-2.75
09/10/2013 10:06:54.608,-0.25,4.0,-1.75
09/10/2013 11:02:55.313,0.75,-5.25,2.0
09/10/2013 12:27:23.364,-0.25,3.5,-0.5
09/10/2013 13:46:03.715,0.5,-2.75,1.25
09/10/2013 14:54:51.703,-0.5,2.75,-1.25
