DateTime,First,Second,Close
09/03/2013 02:25:54.506,-1.25,10.0,-2.25
09/03/2013 08:31:30.855,-4.5,7.0,-0.25
09/03/2013 09:12:37.229,1.0,-5.75,4.0
09/03/2013 10:22:42.062,0.5,-7.0,0.0
09/03/2013 11:21:30.320,0.25,-5.75,0.25
09/03/2013 12:57:32.663,1.75,-6.75,1.0
09/03/2013 14:10:04.278,-1.75,7.75,-0.75
09/03/2013 20:08:07.648,-2.75,5.0,-2.5
09/04/2013 08:35:49.222,4.75,-7.25,1.25
09/04/2013 09:30:10.368,-1.0,12.0,-0.25
09/04/2013 10:55:25.973,-1.25,7.75,-0.5
09/04/2013 13:30:29.405,1.75,-3.75,0.25
09/04/2013 15:00:01.112,3.0,-4.75,2.75
09/05/2013 08:17:13.848,4.25,-6.0,3.75
09/05/2013 09:21:59.021,-3.0,7.0,-2.0
09/05/2013 10:48:07.864,1.0,-4.75,2.75
09/05/2013 14:22:48.469,-2.0,3.5,-2.5
09/06/2013 06:21:58.236,-5.75,7.25,-1.0
09/06/2013 08:31:22.597,-0.75,9.5,-3.75
09/06/2013 08:47:54.161,1.25,-18.75,1.75
09/06/2013 09:05:57.053,4.0,-9.5,3.0
09/06/2013 09:34:38.740,-0.25,8.75,-1.0
09/06/2013 10:19:21.465,-0.75,11.5,-2.5
09/06/2013 12:24:57.265,-1.75,4.75,-1.5
09/06/2013 14:13:13.739,4.75,-7.75,1.25
09/08/2013 20:49:38.235,2.0,-7.5,4.5
09/09/2013 08:45:58.162,-1.75,7.5,-0.5
09/09/2013 10:00:40.472,3.5,-5.0,1.75
09/09/2013 12:06:40.230,-1.0,6.0,-1.0
09/09/2013 14:26:38.568,-0.75,6.5,-2.0
09/10/2013 04:19:48.931,-1.5,9.5,-1.75
09/10/2013 08:44:05.527,-0.25,5.5,-3.5
09/10/2013 09:37:26.872,-0.5,5.0,-0.75
09/10/2013 11:03:48.253,1.5,-6.25,2.0
09/10/2013 13:16:00.195,-0.25,3.5,-0.75
09/10/2013 15:00:13.929,-1.75,4.0,-0.75
09/11/2013 08:30:57.080,1.5,-4.75,2.5
09/11/2013 09:20:14.577,1.0,-4.25,0.5
09/11/2013 10:37:59.672,-1.25,8.0,-0.5
09/11/2013 12:58:42.003,-1.75,4.0,-0.75
09/11/2013 17:00:13.982,-2.5,6.25,-0.75
09/12/2013 08:41:28.780,0.25,-5.0,0.25
09/12/2013 10:31:08.138,0.0,4.75,-2.75
09/12/2013 13:33:26.909,0.25,-5.75,4.25
09/13/2013 07:02:08.030,0.75,-12.75,4.5
09/13/2013 09:35:49.669,3.75,-7.25,2.25
09/13/2013 14:16:25.341,-0.5,5.25,-1.0
09/16/2013 05:37:44.064,-2.25,25.0,-3.0
09/16/2013 09:01:52.656,0.0,-7.25,1.5
09/16/2013 10:33:32.718,-3.25,5.0,-0.75
09/16/2013 13:21:38.420,2.5,-8.5,2.5
09/16/2013 14:58:37.713,0.5,-5.0,2.75
09/17/2013 08:34:33.687,-3.0,6.5,-0.5
09/17/2013 10:15:25.127,-0.25,4.25,-1.75
09/17/2013 14:39:06.895,-0.5,3.25,-1.75
09/18/2013 08:30:00.065,-0.25,5.0,-3.75
09/18/2013 09:53:00.295,1.25,-4.75,1.5
09/18/2013 12:59:45.468,-2.75,4.25,-1.75
09/18/2013 13:12:20.286,-0.75,20.5,0.0
09/18/2013 13:45:54.299,-3.75,5.25,-1.75
09/18/2013 14:26:31.162,-0.5,8.5,-4.75
09/18/2013 21:27:59.883,-2.25,4.25,0.0
09/19/2013 08:25:07.211,-1.75,8.0,-4.0
09/19/2013 09:07:45.566,1.0,-5.5,2.25
09/19/2013 10:17:30.960,0.5,-3.5,0.75
09/19/2013 12:18:34.007,1.25,-5.5,2.0
09/19/2013 14:56:46.298,-2.75,4.25,-2.5
09/20/2013 07:57:05.871,3.5,-4.75,2.25
09/20/2013 09:11:32.334,3.25,-6.5,0.0
09/20/2013 10:36:22.414,2.75,-4.75,0.75
09/20/2013 12:40:44.380,0.25,-6.0,0.25
09/20/2013 14:34:12.310,1.0,-5.25,0.75
09/20/2013 16:14:59.251,-1.5,3.5,-1.0
