DateTime,First,Second,Close
09/01/2013 17:16:34.760,-1.25,3.0,-2.25
09/01/2013 18:33:35.521,-0.25,2.5,-1.25
09/01/2013 19:48:50.013,-1.0,3.0,-0.5
09/01/2013 20:57:01.118,1.25,-1.75,0.75
09/01/2013 23:02:13.412,-2.25,3.0,-0.25
09/02/2013 01:04:58.999,0.75,-2.0,1.25
09/02/2013 02:00:00.074,1.25,-2.25,0.25
09/02/2013 02:11:46.161,0.0,2.0,-1.0
09/02/2013 02:31:19.405,-0.25,1.75,-0.5
09/02/2013 02:49:02.124,-0.25,1.75,-1.25
09/02/2013 03:18:12.996,-1.0,2.0,-1.5
09/02/2013 03:42:43.633,0.0,2.75,-0.5
09/02/2013 04:15:32.056,0.75,-1.5,0.25
09/02/2013 05:00:59.779,0.5,-1.25,0.75
09/02/2013 06:06:02.487,-0.25,1.25,-0.25
09/02/2013 06:40:56.935,-0.25,2.0,0.0
09/02/2013 07:14:17.961,0.0,-2.5,1.5
09/02/2013 08:18:22.280,0.75,-1.75,0.25
09/02/2013 08:53:49.226,0.5,-2.0,0.25
09/02/2013 09:37:40.536,0.0,2.0,-0.5
09/02/2013 10:13:56.364,-0.25,1.5,-0.5
09/02/2013 17:15:41.089,-1.25,2.0,-0.75
09/02/2013 19:18:44.020,0.0,-2.5,1.75
09/02/2013 21:09:31.513,-1.0,1.5,-0.25
09/02/2013 23:00:13.639,-1.0,2.0,-0.5
09/03/2013 00:45:55.681,-1.5,2.25,-0.25
09/03/2013 02:00:00.076,-0.25,1.0,-0.75
09/03/2013 02:12:03.105,0.0,-2.0,1.0
09/03/2013 02:25:03.399,0.5,-1.0,0.5
09/03/2013 02:39:41.420,-0.75,2.0,-0.5
09/03/2013 03:05:00.509,-1.0,1.5,-0.5
09/03/2013 03:31:53.396,0.5,-2.0,0.75
09/03/2013 03:52:26.935,-0.75,1.25,-0.75
09/03/2013 03:54:26.319,0.25,-3.75,0.25
09/03/2013 03:55:52.742,0.0,-1.25,1.0
09/03/2013 03:58:41.464,-0.75,1.75,-0.75
09/03/2013 04:02:27.671,0.0,-1.5,1.0
09/03/2013 04:04:31.798,-0.25,3.25,-0.25
09/03/2013 04:09:15.970,0.75,-2.5,0.0
09/03/2013 04:17:46.011,0.0,-2.0,1.0
09/03/2013 04:24:47.691,0.0,1.5,-0.5
09/03/2013 04:45:23.367,1.25,-1.75,0.25
09/03/2013 05:14:05.561,0.5,-2.0,1.5
09/03/2013 05:34:37.088,0.0,2.75,-0.25
09/03/2013 06:05:19.671,0.25,-2.0,0.25
