DateTime,First,Second,Close
09/01/2013 17:44:58.800,-1.25,3.0,-0.5
09/01/2013 19:55:33.008,-1.75,3.75,-0.25
09/01/2013 22:43:27.540,0.0,-3.0,2.25
09/02/2013 01:29:21.140,1.5,-2.0,2.0
09/02/2013 02:13:03.243,0.5,-2.25,1.5
09/02/2013 02:42:03.357,-0.25,2.5,-0.5
09/02/2013 03:25:41.515,-1.5,2.25,-0.25
09/02/2013 04:12:05.536,-0.5,2.0,-1.25
09/02/2013 05:36:45.244,-0.75,1.75,0.0
09/02/2013 06:44:38.224,-1.0,2.5,-1.25
09/02/2013 08:06:35.199,-1.25,2.25,-1.5
09/02/2013 09:16:58.173,0.5,-2.0,0.75
09/02/2013 10:15:56.796,0.0,2.25,-0.25
09/02/2013 18:54:59.482,0.5,-3.25,0.25
09/02/2013 21:31:53.523,-0.25,2.25,-0.5
09/03/2013 00:30:18.265,-0.75,2.0,0.0
09/03/2013 02:07:11.619,1.0,-1.75,0.5
09/03/2013 02:27:05.457,0.0,-1.5,0.75
09/03/2013 02:59:35.618,0.0,1.5,-0.25
09/03/2013 03:37:03.480,0.25,-2.0,0.25
09/03/2013 03:54:22.643,1.0,-4.25,0.25
09/03/2013 03:57:28.522,0.0,-1.5,1.25
09/03/2013 04:03:06.492,0.75,-2.25,1.75
09/03/2013 04:08:26.835,-0.25,3.0,-1.75
09/03/2013 04:18:48.421,0.25,-3.0,2.0
09/03/2013 04:47:10.351,-1.0,2.25,-2.0
09/03/2013 05:30:14.997,-1.0,3.75,0.0
09/03/2013 06:19:02.542,0.5,-2.0,0.25
09/03/2013 06:33:57.590,1.75,-4.5,2.0
09/03/2013 07:02:19.389,1.0,-2.0,2.0
09/03/2013 07:30:46.387,0.25,-2.0,1.5
09/03/2013 07:54:43.438,-0.75,2.5,-0.25
09/03/2013 08:16:30.988,-1.0,1.5,-1.0
09/03/2013 08:30:00.040,-0.5,1.25,-0.5
09/03/2013 08:30:47.447,-0.5,2.0,0.0
09/03/2013 08:31:34.629,-0.25,1.75,-0.5
09/03/2013 08:32:48.105,-1.25,1.5,0.0
09/03/2013 08:34:19.195,-0.75,1.25,-0.75
09/03/2013 08:35:49.935,-1.0,2.25,-0.25
09/03/2013 08:37:43.028,0.0,-1.25,0.75
09/03/2013 08:40:16.621,0.25,-1.25,1.0
09/03/2013 08:42:18.269,0.5,-2.0,0.25
09/03/2013 08:44:58.213,-0.5,1.0,-1.0
09/03/2013 08:47:49.853,-0.25,1.25,-0.75
09/03/2013 08:50:29.561,0.25,-1.25,0.75
09/03/2013 08:53:52.660,0.5,-1.25,0.5
09/03/2013 08:58:24.098,-1.0,1.75,-1.0
09/03/2013 09:00:52.290,-1.5,2.0,-1.0
09/03/2013 09:02:01.447,0.0,-2.25,0.5
09/03/2013 09:03:55.285,-0.75,2.75,-0.25
09/03/2013 09:06:14.463,0.5,-1.75,1.0
09/03/2013 09:08:27.474,1.0,-1.75,0.0
09/03/2013 09:10:36.302,-0.25,2.5,-0.25
