DateTime,First,Second,Close
09/01/2013 17:05:35.922,0.75,-2.0,1.5
09/01/2013 17:28:02.914,1.5,-2.5,0.75
09/01/2013 18:07:51.767,-0.25,2.0,-0.25
09/01/2013 19:15:20.613,0.0,-2.0,1.5
09/01/2013 19:51:24.460,-0.25,1.75,-0.25
09/01/2013 20:27:24.299,1.0,-1.75,0.75
09/01/2013 21:33:30.660,0.25,-2.0,0.25
09/01/2013 22:52:02.723,-0.75,3.0,-0.75
09/02/2013 00:37:07.387,1.5,-1.75,0.5
09/02/2013 01:14:01.387,-0.75,2.0,-0.5
09/02/2013 01:41:19.107,-0.5,1.5,-1.0
09/02/2013 02:04:17.678,-1.25,2.25,-0.75
09/02/2013 02:12:20.550,0.75,-1.75,0.75
09/02/2013 02:25:22.932,-0.25,1.5,0.0
09/02/2013 02:36:41.683,-1.0,1.5,0.0
09/02/2013 02:44:58.909,0.75,-1.5,0.5
09/02/2013 03:02:48.240,-1.25,1.5,-0.25
09/02/2013 03:21:26.637,0.75,-1.5,1.0
09/02/2013 03:35:02.677,0.0,1.75,-0.25
09/02/2013 03:53:05.600,-0.75,1.25,0.0
09/02/2013 04:14:24.950,0.0,-1.5,0.5
09/02/2013 04:43:19.686,0.25,-1.25,0.75
09/02/2013 05:19:33.703,-0.75,1.0,0.0
09/02/2013 05:50:22.446,0.75,-1.0,0.5
09/02/2013 06:26:42.999,-0.25,1.25,-0.5
09/02/2013 06:42:39.181,-0.5,2.0,0.0
09/02/2013 06:58:22.360,0.0,-2.5,1.25
09/02/2013 07:33:03.943,0.75,-1.0,0.75
09/02/2013 08:14:08.114,0.5,-1.75,0.0
09/02/2013 08:34:06.357,0.75,-1.75,0.5
09/02/2013 09:02:28.320,0.0,-0.75,0.5
09/02/2013 09:32:35.220,-0.25,1.5,-0.25
09/02/2013 09:53:39.621,0.0,1.0,-0.25
09/02/2013 10:15:18.861,0.0,0.75,-0.5
09/02/2013 17:00:00.172,0.25,-1.5,0.5
09/02/2013 17:45:20.777,1.5,-3.0,0.25
