DateTime,First,Second,Close
09/02/2013 03:19:56.137,-1.25,7.0,-0.75
09/02/2013 17:38:44.732,-0.25,3.5,-2.5
09/03/2013 03:53:19.911,-0.75,3.75,-3.0
09/03/2013 05:42:17.603,-3.75,4.75,-0.5
09/03/2013 08:30:00.495,0.5,-4.5,4.25
09/03/2013 08:40:26.092,-0.5,3.75,-0.5
09/03/2013 09:00:52.263,0.25,-4.0,1.0
09/03/2013 09:15:28.701,-2.5,4.5,-1.25
09/03/2013 09:38:33.849,0.0,-3.75,2.5
09/03/2013 10:16:02.287,1.5,-3.25,1.75
09/03/2013 10:28:21.201,0.0,-7.75,0.5
09/03/2013 10:46:30.256,1.0,-3.25,0.0
09/03/2013 11:18:46.074,-0.5,3.25,-2.75
09/03/2013 11:53:02.039,1.5,-4.5,1.0
09/03/2013 12:25:40.424,-2.75,3.5,-1.5
09/03/2013 13:08:04.336,1.5,-4.0,1.75
09/03/2013 13:37:30.263,2.25,-4.25,2.0
09/03/2013 14:05:23.086,-2.25,6.25,-0.25
09/03/2013 14:34:59.977,-0.25,2.5,-1.25
09/03/2013 14:56:42.805,1.75,-4.5,1.25
09/03/2013 20:58:12.663,-0.75,4.5,-1.25
09/04/2013 04:29:45.044,3.75,-6.25,1.5
09/04/2013 08:14:09.947,2.5,-5.0,3.0
09/04/2013 08:42:06.509,1.75,-4.25,4.25
09/04/2013 09:00:21.476,-0.75,5.0,-0.5
09/04/2013 09:24:01.531,0.0,3.5,-0.5
09/04/2013 09:59:00.541,-0.5,2.25,-0.5
09/04/2013 10:34:30.167,-0.5,3.0,0.0
09/04/2013 11:04:04.973,-1.25,4.75,-0.75
09/04/2013 12:11:41.625,1.0,-1.75,0.5
09/04/2013 13:05:08.084,2.25,-3.5,1.5
09/04/2013 14:11:10.464,-2.0,2.75,-0.5
09/04/2013 14:36:24.492,1.5,-4.25,0.5
09/04/2013 14:59:59.065,-1.0,3.25,-1.0
09/05/2013 02:46:18.647,-0.5,4.5,-0.75
09/05/2013 07:03:48.811,1.5,-6.0,2.5
09/05/2013 08:31:12.933,3.0,-4.75,1.0
09/05/2013 08:48:05.320,-0.5,6.25,-0.25
09/05/2013 09:12:45.055,0.5,-3.0,1.5
09/05/2013 09:40:37.747,1.0,-5.0,1.25
09/05/2013 10:09:57.098,1.75,-3.25,1.5
09/05/2013 10:56:52.421,-1.0,3.25,-1.0
09/05/2013 12:19:39.624,0.75,-2.75,1.0
09/05/2013 13:44:30.758,2.0,-2.75,1.5
09/05/2013 14:49:33.288,1.75,-3.75,0.75
09/05/2013 23:39:00.895,0.25,-5.5,3.25
09/06/2013 05:44:18.013,-1.25,5.0,-2.75
09/06/2013 07:31:37.771,-0.25,8.0,-0.25
09/06/2013 07:52:44.897,3.0,-5.25,3.5
09/06/2013 08:35:00.089,1.0,-5.0,1.25
09/06/2013 08:42:43.560,2.0,-8.5,0.25
09/06/2013 08:46:51.553,0.75,-8.25,0.25
09/06/2013 08:51:03.668,-3.25,5.5,-1.25
09/06/2013 09:00:29.422,1.75,-4.0,0.0
09/06/2013 09:06:05.424,1.0,-6.5,3.25
09/06/2013 09:14:35.067,-0.5,5.25,-1.0
09/06/2013 09:26:15.843,-0.75,3.75,-1.0
09/06/2013 09:42:26.007,-0.25,4.0,0.0
09/06/2013 09:56:54.880,-0.25,5.25,0.0
09/06/2013 10:15:06.770,-0.25,4.0,-1.25
09/06/2013 10:41:49.143,-1.75,3.25,-1.5
09/06/2013 11:39:40.417,1.25,-3.0,0.0
09/06/2013 12:36:32.293,-1.75,4.75,-0.75
09/06/2013 13:15:19.309,-0.75,4.75,-1.75
09/06/2013 14:07:49.094,1.0,-3.75,0.5
09/06/2013 14:27:11.285,0.0,-3.75,2.0
09/06/2013 14:54:54.197,0.5,-4.5,1.75
09/08/2013 19:38:27.042,-4.0,6.0,-3.0
09/09/2013 04:53:50.129,-0.25,5.0,-2.75
09/09/2013 08:31:31.403,-1.0,5.75,-1.0
09/09/2013 08:52:04.300,-0.75,3.5,0.0
09/09/2013 09:11:09.733,1.75,-4.0,0.5
09/09/2013 09:45:35.273,1.5,-3.0,2.25
09/09/2013 10:29:55.133,-1.75,2.5,-1.5
09/09/2013 11:12:50.818,0.0,3.25,0.0
09/09/2013 12:14:41.366,0.0,2.0,-1.25
09/09/2013 13:15:08.719,-0.5,4.5,-0.5
09/09/2013 13:59:00.813,-0.25,2.75,-1.75
09/09/2013 14:46:03.682,1.5,-2.75,0.75
09/09/2013 17:30:51.071,-1.25,4.0,-0.25
09/10/2013 03:28:36.003,-3.0,8.5,0.0
09/10/2013 07:01:38.003,-1.75,5.5,-1.75
09/10/2013 08:33:07.165,1.25,-2.25,1.0
09/10/2013 08:48:35.861,0.5,-3.25,2.25
09/10/2013 09:06:38.756,-0.5,2.75,0.0
09/10/2013 09:25:14.443,0.75,-3.0,1.75
09/10/2013 09:57:00.126,-0.5,2.5,0.0
09/10/2013 10:31:39.691,0.25,-3.0,0.5
09/10/2013 11:03:09.949,0.25,-4.0,2.0
09/10/2013 12:07:08.962,-0.25,2.75,-0.75
09/10/2013 12:43:35.218,-1.5,3.0,-1.0
09/10/2013 13:33:42.884,1.0,-2.75,0.25
