DateTime,First,Second,Close
09/01/2013 19:21:19.362,-1.25,3.0,-0.25
09/01/2013 23:40:02.042,-1.5,3.75,-1.0
09/02/2013 02:09:56.123,-1.0,2.5,-1.5
09/02/2013 03:02:20.993,0.0,3.0,-0.75
09/02/2013 04:19:48.224,-1.0,3.0,-1.25
09/02/2013 06:38:11.529,-0.75,2.25,0.0
09/02/2013 08:30:15.073,1.0,-2.5,1.0
09/02/2013 10:11:01.586,-1.75,3.0,-0.75
09/02/2013 20:05:54.222,1.0,-3.25,1.5
09/03/2013 01:03:33.349,-0.75,2.5,-0.5
09/03/2013 02:22:06.505,0.75,-2.75,0.75
09/03/2013 03:16:43.569,-0.5,2.0,-0.5
09/03/2013 03:54:27.746,0.5,-5.0,0.0
09/03/2013 04:01:23.493,-1.0,2.0,-2.0
09/03/2013 04:11:28.641,-0.5,4.5,-2.75
09/03/2013 04:43:11.106,-1.75,3.25,-1.25
09/03/2013 05:47:58.202,-1.5,4.25,-1.0
09/03/2013 06:37:22.473,1.0,-4.5,1.25
09/03/2013 07:23:12.291,-0.5,2.25,-1.25
09/03/2013 08:02:17.898,-0.25,2.75,-1.0
09/03/2013 08:30:00.040,1.25,-1.5,1.0
09/03/2013 08:31:19.115,-0.75,3.0,0.0
09/03/2013 08:33:09.938,0.5,-1.75,1.0
09/03/2013 08:35:33.453,1.0,-1.75,1.5
09/03/2013 08:38:53.061,0.75,-1.75,0.5
09/03/2013 08:42:31.507,1.0,-2.0,0.0
09/03/2013 08:46:30.146,0.75,-1.25,0.5
09/03/2013 08:51:34.336,0.25,-1.25,0.25
09/03/2013 08:57:26.044,-0.75,1.75,-0.25
09/03/2013 09:01:31.080,0.0,-2.5,0.75
09/03/2013 09:04:19.165,-1.75,2.75,-0.25
09/03/2013 09:07:52.251,-1.25,2.0,-1.25
09/03/2013 09:11:23.160,-0.75,2.5,-0.75
09/03/2013 09:15:51.695,1.5,-2.0,0.25
09/03/2013 09:20:35.210,0.25,-2.5,0.0
09/03/2013 09:25:01.258,0.5,-1.5,0.75
09/03/2013 09:30:42.025,-0.25,1.5,-0.75
09/03/2013 09:37:36.726,-0.25,2.0,-0.25
09/03/2013 09:46:30.895,-0.5,1.75,-0.25
09/03/2013 09:53:32.564,0.0,-2.25,0.5
09/03/2013 10:00:38.133,0.25,-1.5,1.25
09/03/2013 10:11:37.700,-1.0,1.75,-0.25
09/03/2013 10:19:16.958,0.5,-2.75,0.0
