DateTime,First,Second,Close
09/02/2013 01:46:00.769,-1.25,5.5,-1.25
09/02/2013 04:48:15.689,-1.0,5.0,-2.0
09/02/2013 09:57:21.848,0.0,3.25,-0.5
09/03/2013 02:05:29.021,-2.75,3.75,-1.0
09/03/2013 03:54:36.242,0.5,-5.25,0.0
09/03/2013 04:25:43.031,-1.0,4.5,-2.0
09/03/2013 06:52:17.326,2.0,-4.5,1.0
09/03/2013 08:29:52.454,0.0,3.5,-0.5
09/03/2013 08:34:29.224,-0.75,3.75,-1.25
09/03/2013 08:43:08.434,1.75,-2.5,0.75
09/03/2013 08:55:28.861,0.25,-2.25,0.75
09/03/2013 09:05:54.098,1.0,-3.75,1.5
09/03/2013 09:16:08.286,-0.25,3.25,-1.75
09/03/2013 09:28:49.154,0.25,-3.5,1.0
09/03/2013 09:48:25.044,-0.25,3.25,-0.75
09/03/2013 10:10:38.121,0.25,-2.75,1.0
09/03/2013 10:23:24.560,1.25,-5.5,0.0
09/03/2013 10:29:59.911,0.25,-3.75,0.5
09/03/2013 10:40:04.728,-1.0,2.25,-0.75
09/03/2013 10:55:52.454,1.25,-3.75,2.0
09/03/2013 11:18:21.381,1.25,-2.5,0.25
09/03/2013 11:42:30.406,1.25,-2.75,0.75
09/03/2013 12:00:51.768,0.5,-4.0,0.25
09/03/2013 12:21:06.239,-1.0,3.5,-2.25
09/03/2013 12:48:52.232,-1.0,3.25,-3.25
09/03/2013 13:10:44.936,-0.75,3.5,0.0
09/03/2013 13:29:44.907,0.5,-4.25,2.5
09/03/2013 13:48:03.606,1.0,-3.25,1.5
09/03/2013 14:04:23.440,-2.25,5.5,0.0
09/03/2013 14:16:22.823,-0.25,3.0,-0.25
09/03/2013 14:39:29.609,0.0,-2.25,1.75
09/03/2013 14:50:44.108,1.25,-4.5,1.5
09/03/2013 15:00:42.414,-1.0,2.5,-0.5
09/03/2013 21:14:42.833,2.5,-4.0,2.0
09/04/2013 02:48:15.679,4.25,-5.75,1.0
09/04/2013 05:35:20.364,1.75,-3.25,2.25
09/04/2013 07:53:08.526,1.75,-5.0,1.5
09/04/2013 08:35:06.897,-0.5,3.5,-1.75
