DateTime,First,Second,Close
09/03/2013 06:34:14.058,-1.25,10.0,-3.75
09/03/2013 09:24:39.072,-2.0,6.75,-5.5
09/03/2013 11:07:00.714,3.25,-11.5,2.75
09/03/2013 13:36:01.118,0.5,-8.25,1.75
09/04/2013 00:12:20.008,-2.25,11.25,-0.25
09/04/2013 09:08:45.381,-6.75,10.5,-0.25
09/04/2013 11:41:34.889,-0.75,9.25,-1.25
09/04/2013 14:59:02.034,2.5,-5.25,1.5
09/05/2013 08:50:50.568,-0.5,7.75,-1.5
09/05/2013 11:18:45.101,1.25,-5.5,1.25
09/06/2013 03:10:01.556,3.0,-8.25,4.25
09/06/2013 08:42:08.075,-0.75,11.5,-9.0
09/06/2013 09:06:32.942,0.25,-15.75,4.25
09/06/2013 10:00:54.012,-0.25,15.5,-0.5
09/06/2013 12:56:33.718,-1.75,7.25,-1.0
09/06/2013 15:32:09.320,1.75,-11.5,1.75
09/09/2013 09:11:49.817,-2.25,13.25,-3.0
09/09/2013 12:32:21.222,-2.0,6.75,-0.5
09/10/2013 02:00:14.439,-0.75,7.25,0.0
09/10/2013 09:01:07.876,-1.5,9.75,-1.5
09/10/2013 11:01:28.308,3.25,-6.25,2.25
09/10/2013 14:32:02.930,-0.5,4.25,-0.75
09/11/2013 08:38:26.757,2.0,-4.75,2.0
09/11/2013 10:31:39.679,-3.5,5.25,-0.25
09/11/2013 14:14:59.512,-0.25,5.25,-2.25
09/12/2013 08:45:22.851,-1.25,6.25,-3.75
09/12/2013 12:15:52.588,3.25,-8.25,4.0
09/13/2013 08:40:00.241,1.75,-13.5,6.0
09/13/2013 13:50:44.841,2.25,-7.25,5.75
09/16/2013 08:38:44.211,-2.0,25.0,-7.25
09/16/2013 11:06:32.674,-4.75,5.75,-1.0
09/16/2013 14:43:21.281,2.0,-10.25,0.25
09/17/2013 09:01:11.208,-0.75,8.75,-1.5
09/17/2013 14:41:35.841,-0.25,4.0,-1.75
09/18/2013 09:18:44.021,-0.25,5.0,-3.75
09/18/2013 13:01:05.888,-4.75,19.75,-2.25
09/18/2013 13:39:09.296,-4.75,11.0,-3.0
09/18/2013 14:52:36.924,-0.5,9.75,-5.75
09/19/2013 08:33:04.155,-1.25,10.5,-3.75
09/19/2013 09:47:22.692,0.75,-6.0,2.0
09/19/2013 13:13:36.208,0.5,-7.0,2.5
09/20/2013 07:46:07.324,-2.0,4.75,-4.0
09/20/2013 09:56:48.281,5.0,-7.75,1.75
09/20/2013 13:02:23.960,1.75,-11.0,0.5
09/20/2013 16:14:59.251,2.5,-6.0,2.5
