DateTime,High,Low,Close
09/01/2013 17:00:00.453,0.5,-1.5,0.0
09/01/2013 17:00:36.227,1.75,-2.0,0.25
09/01/2013 17:01:39.833,1.25,-1.5,0.75
09/01/2013 17:04:52.770,1.0,-1.25,1.0
09/01/2013 17:09:56.961,0.5,-1.0,1.0
09/01/2013 17:10:51.991,1.0,-1.75,0.5
09/01/2013 17:17:27.085,0.25,-1.5,0.75
09/01/2013 17:22:54.269,1.0,-1.5,1.25
09/01/2013 17:33:47.280,0.25,-1.5,1.5
09/01/2013 17:36:55.015,0.75,-0.75,0.5
09/01/2013 17:44:57.185,0.25,-1.5,1.0
09/01/2013 17:58:36.783,0.5,-1.0,1.0
09/01/2013 18:12:03.994,0.0,-1.25,0.0
09/01/2013 18:45:20.996,0.5,-0.75,0.0
09/01/2013 19:00:17.711,0.25,-0.75,0.25
09/01/2013 19:08:49.714,0.5,-1.0,0.75
09/01/2013 19:16:53.594,1.0,-1.0,1.0
09/01/2013 19:21:33.909,0.75,-0.75,0.5
09/01/2013 19:32:23.387,0.25,-0.75,0.75
09/01/2013 19:48:22.032,0.25,-0.75,0.75
09/01/2013 19:50:42.575,0.5,-0.75,0.25
09/01/2013 19:55:25.154,1.0,-1.0,1.0
09/01/2013 19:59:43.852,0.25,-1.0,0.0
09/01/2013 20:09:25.572,0.25,-1.0,0.75
09/01/2013 20:20:40.396,0.0,-0.75,0.5
09/01/2013 20:34:49.584,0.5,-0.75,0.25
09/01/2013 20:47:58.213,0.5,-0.75,0.75
09/01/2013 21:05:28.473,0.25,-1.25,0.25
09/01/2013 21:24:21.034,0.75,-0.75,0.25
09/01/2013 21:35:03.061,0.0,-1.5,0.0
09/01/2013 21:55:34.008,0.75,-0.75,0.5
09/01/2013 22:23:53.548,1.25,-1.5,1.25
09/01/2013 22:42:04.142,1.25,-1.25,0.75
09/01/2013 22:59:50.777,0.75,-1.0,0.25
09/01/2013 23:05:09.081,1.25,-1.25,0.75
09/01/2013 23:46:12.800,0.0,-0.75,0.0
09/02/2013 00:06:21.772,0.75,-1.0,0.0
09/02/2013 00:33:31.561,0.75,-1.0,0.5
09/02/2013 00:51:06.787,0.25,-1.0,0.5
09/02/2013 01:00:50.863,0.75,-1.0,1.0
09/02/2013 01:04:05.943,0.5,-0.75,0.75
09/02/2013 01:11:08.344,0.25,-1.0,0.75
09/02/2013 01:20:00.466,0.0,-0.5,0.0
09/02/2013 01:29:10.903,0.75,-1.0,1.0
09/02/2013 01:30:13.952,0.5,-0.75,0.75
09/02/2013 01:36:19.336,0.0,-1.0,0.25
09/02/2013 01:46:00.769,0.0,-0.75,0.25
09/02/2013 02:00:00.074,0.0,-1.0,0.25
09/02/2013 02:01:34.812,1.25,-1.25,0.75
09/02/2013 02:03:03.793,1.5,-1.5,1.5
09/02/2013 02:04:48.267,0.0,-1.0,0.25
09/02/2013 02:05:54.725,0.75,-0.75,0.5
09/02/2013 02:08:31.741,0.25,-1.0,0.25
09/02/2013 02:10:11.335,0.0,-1.0,0.5
09/02/2013 02:12:19.534,0.75,-0.75,0.5
09/02/2013 02:14:06.470,0.0,-0.5,0.25
09/02/2013 02:17:28.020,1.0,-1.0,0.5
09/02/2013 02:20:48.436,0.5,-0.5,0.25
09/02/2013 02:24:50.603,0.25,-0.5,0.5
09/02/2013 02:25:58.412,0.5,-0.5,0.25
09/02/2013 02:29:02.600,0.25,-1.25,0.25
09/02/2013 02:32:31.385,0.75,-1.0,1.0
09/02/2013 02:35:25.750,0.25,-0.5,0.25
09/02/2013 02:37:04.483,1.0,-1.0,1.0
09/02/2013 02:37:43.105,0.25,-0.25,0.25
09/02/2013 02:39:33.210,0.0,-1.0,0.25
09/02/2013 02:43:02.230,0.25,-1.0,0.25
09/02/2013 02:47:20.341,0.5,-0.75,0.25
09/02/2013 02:50:45.812,0.25,-0.5,0.25
09/02/2013 02:55:32.568,0.0,-1.0,0.25
09/02/2013 02:59:08.698,0.75,-0.75,0.25
09/02/2013 03:02:48.240,1.0,-1.0,0.75
09/02/2013 03:08:02.143,0.75,-1.0,0.75
09/02/2013 03:12:30.616,0.25,-1.25,0.0
09/02/2013 03:16:36.820,0.25,-0.5,0.5
09/02/2013 03:19:56.137,0.5,-1.0,1.0
09/02/2013 03:22:19.650,0.75,-1.0,0.5
09/02/2013 03:30:22.137,0.5,-0.75,0.5
09/02/2013 03:32:40.815,0.75,-1.0,1.0
09/02/2013 03:34:31.542,0.25,-0.25,0.25
09/02/2013 03:38:18.039,0.25,-0.5,0.25
09/02/2013 03:42:30.562,0.25,-0.5,0.0
09/02/2013 03:47:46.151,0.25,-0.75,0.5
09/02/2013 03:51:24.599,0.5,-0.75,0.5
09/02/2013 03:54:08.144,0.5,-0.5,0.25
09/02/2013 03:58:21.905,0.0,-0.5,0.0
09/02/2013 04:03:34.640,0.25,-0.5,0.25
09/02/2013 04:09:11.143,0.0,-0.5,0.25
09/02/2013 04:14:45.818,0.25,-0.75,0.25
09/02/2013 04:20:26.053,0.5,-0.75,0.0
09/02/2013 04:28:21.150,0.25,-0.5,0.25
09/02/2013 04:33:01.558,0.0,-0.5,0.25
09/02/2013 04:42:34.360,0.5,-0.75,0.5
09/02/2013 04:48:15.694,0.25,-0.75,0.0
09/02/2013 04:55:22.431,0.5,-0.5,0.25
09/02/2013 05:01:00.824,0.75,-0.75,0.5
09/02/2013 05:15:20.196,0.25,-0.5,0.0
09/02/2013 05:25:25.848,1.0,-1.0,1.0
09/02/2013 05:34:54.146,0.25,-0.5,0.25
09/02/2013 05:38:25.876,0.25,-0.25,0.25
09/02/2013 05:46:55.263,0.0,-0.75,0.25
09/02/2013 05:56:39.274,0.25,-0.75,0.75
09/02/2013 06:09:28.335,0.5,-1.0,0.75
09/02/2013 06:17:40.382,0.25,-0.5,0.25
09/02/2013 06:22:15.254,0.75,-0.75,0.5
09/02/2013 06:26:57.619,0.25,-0.5,0.0
09/02/2013 06:35:09.161,0.5,-1.0,0.5
09/02/2013 06:39:19.879,0.5,-0.5,0.5
09/02/2013 06:40:21.524,0.75,-0.75,0.75
09/02/2013 06:42:15.185,0.25,-0.5,0.25
09/02/2013 06:44:38.321,0.25,-1.5,0.0
09/02/2013 06:47:01.168,0.25,-0.75,0.0
09/02/2013 06:51:50.415,0.5,-1.0,0.75
09/02/2013 06:57:02.247,0.75,-1.0,1.0
09/02/2013 07:01:33.291,0.5,-1.0,0.75
09/02/2013 07:09:39.082,0.25,-0.5,0.25
09/02/2013 07:20:14.483,0.25,-0.75,0.75
09/02/2013 07:29:58.774,0.0,-0.75,0.25
09/02/2013 07:34:27.579,0.5,-1.0,1.0
09/02/2013 07:50:33.344,0.25,-0.75,0.0
09/02/2013 07:56:32.579,0.0,-0.75,0.25
09/02/2013 08:06:35.199,0.25,-0.75,0.25
09/02/2013 08:16:17.698,0.25,-0.5,0.25
09/02/2013 08:20:53.487,0.25,-0.5,0.0
09/02/2013 08:27:17.487,0.75,-1.0,0.75
09/02/2013 08:32:19.963,0.25,-0.5,0.0
09/02/2013 08:34:02.672,0.0,-1.25,0.5
09/02/2013 08:38:00.059,0.0,-0.75,0.25
09/02/2013 08:45:09.843,0.5,-0.75,0.25
09/02/2013 08:51:57.454,0.5,-0.5,0.5
09/02/2013 08:58:44.168,0.25,-0.5,0.5
09/02/2013 09:08:28.441,0.25,-0.75,0.5
09/02/2013 09:15:47.737,0.5,-0.75,0.25
09/02/2013 09:26:18.595,0.5,-0.75,0.5
09/02/2013 09:30:31.068,0.5,-0.5,0.0
09/02/2013 09:34:31.814,0.75,-0.75,0.5
09/02/2013 09:37:12.777,0.75,-0.75,0.25
09/02/2013 09:44:31.020,0.25,-0.5,0.25
09/02/2013 09:49:01.129,0.75,-0.75,0.75
09/02/2013 09:54:41.649,0.25,-0.5,0.5
09/02/2013 09:59:23.712,0.25,-0.5,0.5
09/02/2013 10:05:59.681,0.25,-0.5,0.25
09/02/2013 10:09:35.850,0.25,-0.75,0.25
09/02/2013 10:15:18.650,0.25,-0.5,0.25
09/02/2013 10:19:12.606,0.25,-1.25,0.0
09/02/2013 10:22:30.236,0.5,-0.75,0.0
09/02/2013 10:27:25.793,1.0,-1.0,0.75
